Depth/Thickness(m),GR(API),AC(us/m),RT(ohm×m),TOC(%),Journal,Author,Well,Area,DOI1,DOI2,,
2493,25.75443,59.1161,4.13648,7.79213,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2045",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.125,25.75443,59.68561,3.04612,8.20585,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2046",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.25,24.65082,61.10941,24.39841,8.61956,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2047",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.375,26.49016,62.5332,20.3063,1.93114,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2048",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.5,27.59377,63.957,19.69438,2.2759,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2049",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.625,26.49016,64.95365,20.93723,2.55171,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2050",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.75,28.69738,66.09269,22.25851,3.24124,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2051",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2493.875,32.0082,66.94697,24.39841,3.93077,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2052",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2494,31.27246,67.80124,21.58777,4.6203,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2053",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2494.125,32.74393,68.086,20.93723,5.30983,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2054",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2494.25,32.37607,67.23173,17.96706,5.99936,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2055",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
2494.375,29.80098,66.66221,14.06596,6.68888,Oil & Gas Geology (Chinese Edition)/Marine Petroleum Geology,"Shen et al., 2021/Nie et., 2056",N201,Changning/South Sichuan,10.11743/ogg20210109,10.3969/j.issn.1672-9854.2021.01.005,,
